K,inertia,silhouette,calinski_harabasz,davies_bouldin,stability_mean_ari,stability_std_ari,assignment_agreement,min_cluster_share,selected
2,628.1151296755877,0.5207015729581402,230.1725512682012,0.7829477456368567,0.9833276417776796,0.017758793492894127,0.9958888888888892,0.31,True
3,444.0738720104427,0.4849647151821727,202.7824928790744,0.8067900455955092,1.0,0.0,1.0,0.05,False
4,329.76136658531175,0.49644769199702693,203.7754850833414,0.7676655897099124,1.0,0.0,1.0,0.05,False
5,252.37272114283016,0.3921380101888266,213.62659795846903,0.8035851804190781,0.8866006974440531,0.06479345934807121,0.9598888888888889,0.05,False
6,206.4017191538419,0.42115106803986124,216.5355600373534,0.7399906823089036,0.824647125336273,0.09879536012017483,0.9057777777777777,0.02,False
7,168.83402538729243,0.4168942364734322,226.61825633974564,0.7768227222137966,0.8139138645342185,0.13973692146747518,0.8914444444444444,0.015,False
8,141.7889861494068,0.40242459595193497,235.32799526036587,0.7884368825466141,0.7380907826498553,0.11792320105531293,0.843111111111111,0.015,False
9,123.32553153610871,0.3919138873410601,239.08111291232194,0.7184708170438802,0.7514266540479793,0.1296753638559327,0.852777777777778,0.015,False
10,109.05264841115115,0.37565882324045285,241.83561103016396,0.8013720583721478,0.7419750438135163,0.1580991170570672,0.8265555555555557,0.01,False
