K,inertia,silhouette,calinski_harabasz,davies_bouldin,stability_mean_ari,stability_std_ari,assignment_agreement,min_cluster_share,selected
2,5615.483539019181,0.23192664457539472,63.47328445533681,1.6608113018926738,0.9803955534195075,0.0392088931609849,0.9950000000000001,0.41,False
3,4046.1015622092837,0.3115740409621532,82.0297335170485,1.2186737247464021,0.9846048856306031,0.015094746757644389,0.9952222222222221,0.265,True
4,3319.5339991845303,0.29370213450092836,80.61763677663339,1.2761552230162976,0.9747523214742395,0.020558226550308867,0.991,0.205,False
5,2961.016258563755,0.299381295293394,73.340850325852,1.3114997811163016,0.9441811754059559,0.030717309994391682,0.9717777777777777,0.05,False
6,2643.3973565149995,0.28722033638527295,70.0475265866531,1.3365614833734634,0.9614101310337492,0.023750171473137273,0.9807777777777779,0.06,False
7,2478.5787758538604,0.28843514084957195,64.07267036923966,1.3419023628944602,0.8872458376046737,0.07234986995035081,0.9025555555555558,0.025,False
8,2333.9907945736254,0.2362656375139091,59.71860898091696,1.350488493760198,0.7933281508842441,0.07622492274739925,0.8362222222222223,0.025,False
9,2168.241803782711,0.2870781005853819,57.7804087933947,1.291131716473825,0.8252393851211184,0.060349027437742106,0.8566666666666666,0.025,False
10,2055.88175575539,0.23090370726072165,55.037546094648214,1.3802772946075537,0.8131697879323735,0.07791052575278819,0.878111111111111,0.025,False
