K,inertia,silhouette,calinski_harabasz,davies_bouldin,stability_mean_ari,stability_std_ari,assignment_agreement,min_cluster_share,selected
2,3466.9654644550674,0.321496474890411,97.68446396872977,1.085068570988488,0.9860097306970147,0.012490230152886844,0.9966666666666666,0.26,True
3,2582.831073186563,0.31510668214230514,98.94814561948526,1.274733551906869,1.0,0.0,1.0,0.245,False
4,2076.56385198503,0.3092496719399702,97.55964288003163,1.1641227307584638,1.0,0.0,1.0,0.23,False
5,1922.7532309116075,0.28102103644035226,82.51952134996242,1.2595305987075853,0.9037674420555027,0.08414069579776477,0.9305555555555557,0.055,False
6,1766.6466220646537,0.2794702197047157,74.90900771906978,1.3140044674403708,0.852343593090956,0.08721711288263954,0.8974444444444446,0.035,False
7,1656.0351620084414,0.2502632228123225,68.39890722055077,1.275940434501872,0.7996548367578623,0.07461370251062889,0.8602222222222222,0.035,False
8,1525.3917236337793,0.24050954198485222,65.66820308793837,1.4131830728566608,0.8435157776452878,0.050791787807208943,0.9078888888888889,0.035,False
9,1466.2533320450614,0.22725299342840555,60.4288094562065,1.397739413882092,0.8108117118543927,0.07473217376716403,0.8495555555555553,0.01,False
10,1392.6049550565679,0.19588998251388332,57.375573965804,1.47756104732641,0.723353836834584,0.07327689880388454,0.7887777777777779,0.015,False
