n_clusters,n_runs,mean_ari,std_ari,min_ari,mean_agreement,mean_inertia,std_inertia,min_cluster_share
2,10,0.9860097306970147,0.012490230152886844,0.9582365863360269,0.9966666666666666,3467.059920438718,0.12238890064978046,0.26
3,10,1.0,0.0,1.0,1.0,2582.831073186563,0.0,0.245
4,10,1.0,0.0,1.0,1.0,2076.56385198503,0.0,0.23
5,10,0.9037674420555027,0.08414069579776477,0.7742467769917948,0.9305555555555557,1920.6547889146136,1.1143021286246808,0.055
6,10,0.852343593090956,0.08721711288263954,0.6315914446976086,0.8974444444444446,1773.8910634381816,10.133753812931525,0.035
7,10,0.7996548367578623,0.07461370251062889,0.6738878825202419,0.8602222222222222,1650.0023379150578,8.16568070037362,0.035
8,10,0.8435157776452878,0.050791787807208943,0.7519340591273903,0.9078888888888889,1536.5454996334834,10.919574484483794,0.035
9,10,0.8108117118543927,0.07473217376716403,0.6570562298800287,0.8495555555555553,1460.8240799396433,6.601097416352181,0.01
10,10,0.723353836834584,0.07327689880388454,0.6106429464970282,0.7887777777777779,1390.5686435188404,10.11240392562474,0.015
