component,eigenvalue,explained_variance_ratio,cumulative_variance
1,9.205661165740858,0.38165136916300574,0.38165136916300574
2,5.793749961581303,0.2401992171572244,0.6218505863202302
3,3.4691589872588637,0.1438255496801068,0.765676136000337
4,2.5251611392252746,0.10468897223038098,0.870365108230718
5,0.8838937653514839,0.03664476235519687,0.9070098705859149
6,0.6279535620549755,0.026033908093529148,0.933043778679444
7,0.27452967336937717,0.011381542708438741,0.9444253213878827
8,0.20512500052558702,0.008504140646789947,0.9529294620346727
