feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
hour_0_shape,-0.6665245504394464,0.5346097998363272,-0.39221924536710556,-0.1602054505656357,0.021763807406595406,0.19304429875301302,-0.1095500706139745,-0.06634670111712061
hour_1_shape,-0.5147409311763376,0.7137846930187608,-0.36416135095592655,0.050088319685063394,-0.09299192013028591,0.16786433645662852,-0.05634773378573975,-0.13241880310578066
hour_2_shape,-0.2828278381588752,0.8612062238014196,-0.27629708418834187,0.1697740997802895,-0.17768317502650058,0.05590321009812628,0.0807881412112666,-0.0865350607971777
hour_3_shape,-0.19175430201910973,0.8714092822317375,-0.13636376779987203,0.2712094326269717,-0.2313757545646659,-0.09043842838456216,0.16398536587591891,0.014077410303185824
hour_4_shape,-0.13192910146935308,0.8264203549886417,0.08854834678884765,0.4287144700869732,-0.17030803641636313,-0.1531792915004363,0.09349198857271927,0.11283617470051607
hour_5_shape,-0.15459187794946544,0.6098443882035894,0.4183627266319553,0.5168853684525201,0.1194702382604211,-0.24142109203081635,-0.14354886160995387,0.11510553996434716
hour_6_shape,-0.13792821641359232,0.266680343548172,0.704373508656472,0.4625132468238409,0.3593492983749614,-0.0437598657249179,-0.13556628998641457,-0.038288160633948416
hour_7_shape,-0.03991101798758411,0.015941416939662542,0.8664970284225856,0.217977519111326,0.19550996321145206,0.30564847524857863,0.006534257423445149,-0.1202001227768119
hour_8_shape,0.14785742071303443,0.0425363576776686,0.8326928329317544,-0.24816145186095173,-0.1663303571472205,0.32563563118131694,0.21159357576968196,0.07843260620336774
hour_9_shape,0.5792583835436746,0.2036046412681561,0.48888094400121895,-0.4514045929528912,-0.3212635451717599,0.05706907765886684,-0.0870982056704549,0.0646340772643505
hour_10_shape,0.768947669292616,0.24736670657673188,0.15172904187650738,-0.4377249572626553,-0.22370055312840398,-0.058387393717478205,-0.14445467724534258,0.03353723869542521
hour_11_shape,0.8764035360288651,0.21253264335415814,-0.010251888722130773,-0.32084059408614723,-0.05403036238294542,-0.13396774394086136,-0.1263260678393261,-0.03276795424853388
hour_12_shape,0.9101924099405926,0.16899299344477212,-0.08735453158261808,-0.2288393166846304,0.10140411773506906,-0.12504480391161632,-0.03134143082232677,-0.09637221085325058
hour_13_shape,0.919918052022825,0.07775502986051713,-0.2024699176588063,-0.08842323933830695,0.19050701699815248,-0.07052039424515766,0.08457485902436292,-0.08053872991573448
hour_14_shape,0.8867161568998293,-0.034748578414213874,-0.2689364722605717,0.07306814779150494,0.2371476619990035,-0.00623563932672485,0.15204660055826588,-0.03193939287151426
hour_15_shape,0.8095311862187764,-0.15815734037396256,-0.3609253072937469,0.2671008807672689,0.17813132548913516,0.09646972001145594,0.118934402142855,0.04659618197434332
hour_16_shape,0.6030506593362945,-0.387064769583214,-0.4269638470520225,0.4389096886281363,-0.007710873460575763,0.19645965213973413,-0.05825014677417545,0.14223706800966768
hour_17_shape,0.1942289188881184,-0.6468581763882407,-0.288954773479057,0.5492654205207658,-0.2496658420936362,0.18088741348190676,-0.13413867649315495,0.09148506558795119
hour_18_shape,-0.2981220864560638,-0.7985738496187764,0.02485605096834749,0.3515411604632226,-0.27902853198589483,0.011269012308103152,-0.038185133289987586,-0.13469237806979287
hour_19_shape,-0.5595069391836179,-0.7083709954821856,0.15487062390268339,0.09965176835472478,-0.18933050067236237,-0.22526024959254293,0.034004314431659285,-0.14801357151432598
hour_20_shape,-0.7664316683771769,-0.5463700705749833,0.1243517929221855,-0.1257711533323776,-0.012447164355728756,-0.2065054064250901,0.10026408693281194,-0.0004001910317515105
hour_21_shape,-0.8412524819470019,-0.3101987563352786,-0.016747937975697767,-0.33373082191361636,0.11960262964403422,-0.11847852608233544,0.0425474503575981,0.15325059516012368
hour_22_shape,-0.8644338164304072,-0.048396416175420655,-0.18538070930333542,-0.3667420463684261,0.20111167834860125,0.04734514271845105,0.004768478511177528,0.09688909580561991
hour_23_shape,-0.7993780835778711,0.23638909146876755,-0.33273709463421985,-0.3096921074083241,0.1721879053501842,0.18001459976205395,-0.0877429625774955,0.02427029178457007
