n_clusters,n_runs,mean_ari,std_ari,min_ari,mean_agreement,mean_inertia,std_inertia,min_cluster_share
2,10,1.0,0.0,1.0,1.0,3368.0687899678887,0.0,0.3
3,10,0.9555898771853953,0.0395229137807781,0.9116407146678936,0.9850000000000001,2530.9022080158034,0.8152103749474693,0.265
4,10,0.9868486069254278,0.02630278614914423,0.9342430346271394,0.9950000000000001,2034.0717975380157,0.8458037983818031,0.175
5,10,0.9643206540896156,0.026066416037018345,0.9366883467945393,0.9854444444444445,1750.832332417497,0.3989440280297762,0.115
6,10,0.9200640334622365,0.04461358140997109,0.8407903778409417,0.9633333333333335,1559.9053557025975,1.3568782107160309,0.085
7,10,0.9125936050943306,0.03980933239701298,0.8316363619032774,0.9285555555555555,1431.9242804643932,4.1894412115023965,0.025
8,10,0.9256137690621158,0.06896682676660483,0.8047140839473356,0.9445555555555556,1307.9826033913828,12.91293535499615,0.025
9,10,0.8116140360428574,0.0855498945796755,0.6433082641787441,0.8525555555555556,1236.433899813544,13.681982487167232,0.025
10,10,0.8461393738901803,0.06308557836397671,0.7355045924951198,0.8443333333333333,1165.01621171225,8.61244528265985,0.01
