cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.01945156644992391,0.01816245683715319,0.018179827084823057,0.019309728924741077,0.02237020391646672,0.0283672983254975,0.03678740175885578,0.04469443933034067,0.05014472274700638,0.05401884697518893,0.05789241226830214,0.0621233465201826,0.06503803521550584,0.06524753429905204,0.06324242072511249,0.05899851113338766,0.054076077893699157,0.05010549131009316,0.04719742066699777,0.04401890908989022,0.03894137279909108,0.03290985183511955,0.02660356979616921,0.022118554097399847
1,0.03485367310445044,0.034061213947314976,0.03381826986854685,0.034358149527262086,0.03548249154853313,0.03756039019567348,0.04034160025638425,0.042799309385440125,0.044108007435342274,0.044455820917368404,0.044660103548100356,0.04492656644698413,0.045144680197423,0.04520976239179035,0.045057724043716815,0.04493611354272822,0.044938243047774176,0.0457185170610415,0.046652530163188204,0.046732719548675264,0.04530912071859293,0.04267271543694015,0.03941940511593976,0.03678287255078911
2,0.03172572563673449,0.024692141497127458,0.021002459061892367,0.020389490877545637,0.023356884081679793,0.030967630184425554,0.040518276335908994,0.04734509455313029,0.04575573463412775,0.03979999625044504,0.034109900810078274,0.03201142590963944,0.032115841626136746,0.032819958214537294,0.0345296474625601,0.036866976848834825,0.041647115717013565,0.05080569679724522,0.06306677185555466,0.07260363878846979,0.07561898895290138,0.0692916218607449,0.056294870524029574,0.04266411151923684
3,0.02872877174336131,0.024886510944512205,0.02279652432980288,0.02244012131278642,0.023691670207720707,0.0271018040753302,0.0318263871711491,0.036938971903213595,0.040285085247545975,0.0425992937072187,0.0442550441177305,0.04616106516772985,0.047830013716503826,0.049340423864973025,0.050773055572624806,0.052048528489077914,0.053546698733816664,0.05608830601860761,0.058099086805881814,0.05846194671155963,0.05564321493466166,0.04992131632556989,0.041887063214101905,0.03464909568451983
population,0.029216475229966888,0.025915066354170502,0.024340316869146283,0.024446483980599662,0.02642092308991779,0.030976276981039483,0.03705033437163161,0.0424204146196127,0.04448727693461451,0.044650968766770015,0.04463553768168986,0.045627575138413,0.04679456075261194,0.04748602898873854,0.04790139467397862,0.04798688258321027,0.04861532718267398,0.05098409885445994,0.054164563168372204,0.05591925295105805,0.05439379811633386,0.049271466319654476,0.041651025609915876,0.03464395078141994
