feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
hour_0_shape,-0.06572911991083513,0.8385439463189016,-0.1860738472823003,-0.3894894947874006,0.2285027236259837,0.0031453302726667932,-0.01111615319887732,0.10132455500574362,-0.10716556960569051,-0.15202555370677848
hour_1_shape,-0.4004669431523813,0.8063573246807466,-0.17010299066107354,-0.2423436405729466,0.20213123751679385,0.07160948205053298,-0.01644277585401027,0.10140204653621102,-0.06434121765873745,-0.1195032652464452
hour_2_shape,-0.6352046900858841,0.7093551414657235,-0.09190428719962405,-0.08029350305862494,0.12433327846850921,0.13049862639873283,-0.022669341224467635,0.08113376112730698,0.010998689477532573,-0.051692263436499776
hour_3_shape,-0.7292947002288089,0.6162781723671054,0.02360445394030614,0.08128297278009151,0.0668024123938509,0.17816340777408612,0.025719643609452655,0.03471088052046892,0.07063485888615494,0.03769299451671682
hour_4_shape,-0.6939875015304408,0.5429837829743329,0.21267760412082512,0.255024813049131,0.07416145859360912,0.20102357597081935,0.10956318737088211,-0.025305711536135023,0.12253437662312866,0.0797881847518862
hour_5_shape,-0.4338656123268487,0.41329313377839205,0.4900514556238131,0.46822148059183627,0.12582453714248532,0.21938974753661772,0.23510669676146556,-0.0801224216049382,0.10504045904039418,0.05912726748291981
hour_6_shape,-0.12185785047889665,0.22510920162180378,0.7417956541318266,0.49790863985949657,0.13054398226871505,0.15103614792250147,0.2178094978411472,-0.05720712108428918,-0.02196843206127711,-0.02946391512492777
hour_7_shape,0.04971219925249308,0.033644301514377854,0.8749286618679458,0.3674513070958268,-0.021699444609904615,0.008522988292122155,0.06394903154878562,0.0022886264569049824,-0.16794223528348515,-0.1504490313839775
hour_8_shape,-0.11371728672526182,-0.24279177996616685,0.8664313960771256,0.06125151889905014,-0.22832773491360372,-0.1274501109240571,-0.09726807431862126,0.05494273452508804,-0.1921026715350371,-0.1712452194153472
hour_9_shape,-0.3788097877655895,-0.4832417670818425,0.5810690162054858,-0.28553598139462205,-0.3240478672775624,-0.18801786697913142,-0.07644504657924552,0.01865156958985417,-0.06280971422755605,-0.09904222779462762
hour_10_shape,-0.5119509145646541,-0.6254406689284346,0.3088377923791606,-0.380833012765255,-0.216757626782227,-0.1109337052053332,-0.013934271485382522,-0.0078086928749096516,0.020126567055575934,0.032164524188154825
