K,inertia,silhouette,calinski_harabasz,davies_bouldin,stability_mean_ari,stability_std_ari,assignment_agreement,min_cluster_share,selected
2,7083.513908566277,0.29394375182254556,72.99794655833404,1.3822966460504686,0.9958112799087423,0.00837744018251527,0.999,0.265,False
3,4968.533979071766,0.3304803853115014,93.70183384832148,1.1957217149422932,0.9852378031416319,0.015781452262892588,0.9953333333333335,0.265,False
4,3911.129183290933,0.3282866716821562,96.61713813497728,1.1691088459670897,0.9946825377900362,0.007081574699310825,0.9979999999999998,0.195,True
5,3466.0790320646347,0.33516161988201515,87.60960036721217,1.2022910731297736,0.9586756976817278,0.030954372795420362,0.9827777777777779,0.055,False
6,3072.4967011571534,0.3238272599743667,83.63056709531355,1.2326497885903491,0.9909221905534588,0.009444632184721058,0.9943333333333333,0.055,False
7,2844.562669319039,0.3163754755774248,77.4660341569839,1.2093826125596194,0.8930745813674256,0.07246801057411882,0.9038888888888889,0.035,False
8,2670.294703023413,0.30716323265990203,72.15634316539739,1.2949651245042757,0.8651239227237868,0.07373624496408179,0.8665555555555555,0.03,False
9,2490.5884478789544,0.31114226988922267,69.06249696773054,1.2014875963732292,0.8155832245310195,0.08815601726098016,0.8337777777777775,0.025,False
10,2361.6311889793874,0.27595278124408207,65.55485378866058,1.317966836217035,0.7581117047316975,0.09324623260481206,0.7920000000000001,0.02,False
