feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
hour_0_shape,0.5294755594426471,0.6769996997747221,0.15597994896599232,-0.1595410970387844,-0.31097460315753667,0.0701511069769063,-0.14714358878539577,-0.051420243462565025,0.03265286875305601,0.20377208043599637,-0.05219885008241041,-0.02422161324196978
hour_1_shape,0.3277949789766171,0.8456595730074067,0.060055031873541595,-0.18026325991665634,-0.14317964992787244,0.10204080185463207,-0.0841222504832015,-0.08371779982412761,0.07136302704503941,0.19119785760879274,-0.11299676614830342,-0.01201179644624853
hour_2_shape,0.05601527066460836,0.9508441387964651,0.03628965743727785,-0.13165084148225806,-0.014794725878568622,0.11642074502508261,0.013087116852060628,-0.08105587571115927,0.05570854453766527,0.06178987627031637,-0.0624982416064982,0.008084677400916705
hour_3_shape,-0.03940459952000776,0.9398022305691892,-0.029062996835679474,-0.04383844279697568,0.11478148411377398,0.12660906635422955,0.07772407198737409,-0.046967269777095394,0.08380943081814807,-0.07230033899006294,-0.0837728420140423,0.04698130804268276
hour_4_shape,-0.09812285585887434,0.8742365532999389,-0.07401023319444973,0.10569436503162215,0.3230516669326017,0.05879330312502454,0.03632594607881471,0.027866107336500925,0.12489595279282974,-0.12239252223677623,-0.06585154170558738,-0.002780743368891673
hour_5_shape,-0.02588145731738718,0.6146059509195952,-0.19528034392753166,0.35228444360906347,0.48362914497308535,-0.030920726990680394,-0.1804958860079493,0.2246040138507246,0.17839738069056327,-0.1725820039426499,-0.07753192884145342,-0.06248166532957819
hour_6_shape,0.025745005995645664,0.24001266222800308,-0.25461362588517017,0.5720408874610361,0.5463226637710372,-0.1708474000274682,-0.3071873409560969,0.23198980336185693,-0.00016187516610411236,-0.030052128944262384,0.07046974396486358,-0.0572453175603404
hour_7_shape,-0.0030773379404206015,-0.06644699751615296,-0.1822955568254974,0.7462580706461195,0.4335476265614806,-0.16766911344244279,-0.12462476430926686,0.08001944897471111,-0.06965125462315881,0.28059860733375386,0.11911123224671108,0.0311554953545718
hour_8_shape,-0.17525866626102554,-0.1183835327802588,-0.05947142744506509,0.8269890720393934,0.036522281950628815,-0.10562511670496491,0.23164410922780293,-0.11776713889431588,-0.13052260761169193,0.27633512461900195,0.03515261956089916,0.1761703647514901
hour_9_shape,-0.6008386348789259,-0.06808345301843169,0.07624719428035238,0.5756582671380533,-0.27442780731421634,-0.005042832824377079,0.3641342970566896,-0.03064049796101199,0.0634246315632871,0.08250064593390972,-0.10244041171328981,-0.054647989337538554
hour_10_shape,-0.7848976838390483,-0.04124247702623911,0.11387012404680158,0.2686110753990542,-0.3743155332709748,0.06185084684586171,0.23799236641181915,-0.015437667645296544,0.035141127794634325,-0.03765047078642553,-0.14626341423905617,-0.08451280480865063
hour_11_shape,-0.8791612579450326,-0.0747386435984895,0.09260521624787992,0.07850981435943787,-0.3329998156323895,0.07476611966617833,0.08360213865244794,0.05628948236664707,0.05479304947277742,-0.11470178496456239,-0.08526657697679506,-0.04876501810598325
hour_12_shape,-0.8989678598436729,-0.11128493352420953,0.11092493762372006,-0.026932396686223704,-0.26109913526169537,0.08775269927753591,-0.053728761647383154,0.11948306793331312,-0.009100952846068438,-0.12170690868013974,-0.04794288429372496,0.02645648070972568
hour_13_shape,-0.8940457323585893,-0.16311160658878313,0.04474904032779986,-0.19692100430904144,-0.17414385849541086,0.05713673341491584,-0.14388117897914207,0.10819054023071546,-0.07302552212695139,-0.08032068579457877,-0.0052068625704739385,0.05692456064270919
