n_clusters,n_runs,mean_ari,std_ari,min_ari,mean_agreement,mean_inertia,std_inertia,min_cluster_share
2,10,0.8616254228245751,0.18206732435875803,0.4999409662980903,0.9614444444444447,6903.026661971133,6.944885736261873,0.28
3,10,1.0,0.0,1.0,1.0,5236.399528756685,0.0,0.265
4,10,0.9654395256379148,0.02624439244977824,0.9323422429878295,0.9873333333333332,4494.603592685706,1.115850470263469,0.205
5,10,0.9510741950219338,0.04126718489695597,0.8463055985678579,0.9747777777777776,4091.6413775986052,6.013908229707639,0.055
6,10,0.8802608726347458,0.11291993370848269,0.6179912695975058,0.912111111111111,3780.4821378444367,32.962670347258445,0.04
7,10,0.8450199825237339,0.10547909744451577,0.641057900477525,0.9004444444444447,3563.624290048744,24.598413210931817,0.04
8,10,0.8281641568056711,0.06457719196320155,0.6714050376762553,0.882777777777778,3367.3131509922605,20.029694544157092,0.015
9,10,0.7121416534643074,0.10505578624143168,0.5235669239962166,0.7873333333333332,3198.0013670689495,32.373094260420494,0.015
10,10,0.7327048118587178,0.09168298974215931,0.491898165567596,0.789666666666667,3023.6825757862125,33.25382226004551,0.015
