K,inertia,silhouette,calinski_harabasz,davies_bouldin,stability_mean_ari,stability_std_ari,assignment_agreement,min_cluster_share,selected
2,7219.520982146652,0.2581829333445041,68.49377691706307,1.1727076903731906,1.0,0.0,1.0,0.26,False
3,5176.812181543267,0.3124209863345198,86.38602544364484,1.2540806743267057,0.9883670007514509,0.017482915069917258,0.9962222222222222,0.245,True
4,4208.25546192785,0.2915832059384566,85.52280472047718,1.2098767289461572,0.9881896060867221,0.014438244833087824,0.9956666666666665,0.235,False
5,3818.5046383864806,0.3004912301114516,75.30422564543727,1.3914007685832128,0.9269211165529357,0.0367060212887368,0.9484444444444443,0.08,False
6,3458.244649321602,0.2887633755630891,70.22002482023866,1.3911915748489523,0.9123421081783625,0.0628549939402167,0.9355555555555556,0.04,False
7,3220.931943178162,0.2725892859804725,64.87422418754657,1.3341702332558665,0.8329899100223094,0.07723344152206749,0.8509999999999999,0.035,False
8,3026.2523804933344,0.27023749923786866,60.64149202538381,1.3246415087743562,0.8550997351195415,0.04519790544194921,0.8632222222222223,0.015,False
9,2874.965645533777,0.21356706147422905,56.81895196472203,1.4584640794881762,0.8107526337218114,0.06799682496317073,0.8369999999999999,0.01,False
10,2686.699624503632,0.21792230518627378,55.24120953838095,1.4114553798872052,0.8381671090885129,0.05627172961574118,0.8681111111111112,0.02,False
