K,ari,nmi,silhouette,n_true_archetypes,cluster_sizes
2,0.3875367770895486,0.5228560733675506,0.23192664457539472,4,"[87, 113]"
3,0.6363929620698922,0.7143553295243628,0.3115740409621532,4,"[53, 87, 60]"
4,0.8122879235519211,0.8198106057260056,0.29370213450092836,4,"[59, 50, 43, 48]"
5,0.8005270040327204,0.8234651925438019,0.299381295293394,4,"[50, 45, 15, 56, 34]"
6,0.7520550065944797,0.7998194600731627,0.28722033638527295,4,"[17, 24, 31, 50, 47, 31]"
7,0.7101676986603587,0.7766174961686991,0.28843514084957195,4,"[31, 46, 26, 15, 50, 24, 8]"
8,0.5674729626299303,0.7065568677682539,0.2362656375139091,4,"[9, 24, 27, 24, 46, 18, 26, 26]"
9,0.6550863110314461,0.7357137209309597,0.2870781005853819,4,"[8, 43, 25, 15, 50, 13, 6, 24, 16]"
10,0.5233831709997059,0.6887108435924235,0.23090370726072165,4,"[19, 17, 17, 25, 44, 31, 13, 14, 14, 6]"
