n_clusters,n_runs,mean_ari,std_ari,min_ari,mean_agreement,mean_inertia,std_inertia,min_cluster_share
2,10,1.0,0.0,1.0,1.0,7219.520982146653,9.094947017729282e-13,0.26
3,10,0.9883670007514509,0.017482915069917258,0.95396034104778,0.9962222222222222,5177.130071636066,0.6577729291461218,0.245
4,10,0.9881896060867221,0.014438244833087824,0.9594601019972969,0.9956666666666665,4208.289066365871,0.5688748741333567,0.235
5,10,0.9269211165529357,0.0367060212887368,0.8689572305932418,0.9484444444444443,3819.0696077128136,1.8110245332679018,0.08
6,10,0.9123421081783625,0.0628549939402167,0.8153936571944413,0.9355555555555556,3466.8477299932338,14.108948037768403,0.04
7,10,0.8329899100223094,0.07723344152206749,0.700671314564804,0.8509999999999999,3252.720491616694,30.08504957797462,0.035
8,10,0.8550997351195415,0.04519790544194921,0.7872890261020645,0.8632222222222223,3059.0540962058876,30.90554782095481,0.015
9,10,0.8107526337218114,0.06799682496317073,0.7217913967502092,0.8369999999999999,2865.4581578964962,17.23513181073007,0.01
10,10,0.8381671090885129,0.05627172961574118,0.7192841538961244,0.8681111111111112,2709.952302213367,34.13414643058277,0.02
